unit_index,kind,name,source_path,source_sha256,oracle_compile,oracle_run,oracle_exit,candidate_prepare,candidate_run,candidate_exit,raw_stdout,canonical_stdout,generated_files,exit_status,verdict_counts,final_classification,reason_code,nondeterministic,first_failure_line
486,"COBOL","ST115A","ST115A.cob",f80b2d4fbb803f7e81935340a88f4023e5221a4981aa858156a9694fbc44dbb4,"pass","pass",0,"reject-parse","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_PARSE,"COBRUN_UNDEFINED_DATA_NAME_XRECORD_NUMBER",no,"cobrun: undefined data name: XRECORD-NUMBER(1)"
487,"COBOL","ST116A","ST116A.cob",d01ea63c5a3ce71ebbe3ed78008cf9517ee6f54cb761c736b1716243f8e1e074,"bound-to-main","not-applicable",,"bound-to-main","not-applicable",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"SUBPROGRAM_BOUND_TO_MAIN",no,""
488,"COBOL","ST117A","ST117A.cob",af68216527fd18e6bc3a82ea52bae6b6eb715050163694f644e55b924dd7d083,"bound-to-main","not-applicable",,"bound-to-main","not-applicable",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"SUBPROGRAM_BOUND_TO_MAIN",no,""
489,"COBOL","ST118A","ST118A.cob",32a35ae3bfb850efb26b8174e3e6f44d927b1ae6c9597ad856b2a120993f5a6f,"pass","pass",0,"accepted","pass",0,"mismatch","mismatch","mismatch","match","not_comparable",GENERATED_FILE_MISMATCH,"GENERATED_FILES_DIFFER",no,""
490,"COBOL","ST119A","ST119A.cob",03baee2fabf9b1a121ffb3228a69b50a1772fc7c346338f64cc984199e32803c,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_SORT_MERGE_KEY_KEY_NOT_FIELD",no,"cobrun: unsupported: SORT/MERGE KEY `KEY-1` is not a field of the sort record"
491,"COBOL","ST120A","ST120A.cob",7417603f2f650359a906c0ab7d0a58aedb390dc39811edc8e97acce76f4635f5,"bound-to-main","not-applicable",,"bound-to-main","not-applicable",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"SUBPROGRAM_BOUND_TO_MAIN",no,""
492,"COBOL","ST121A","ST121A.cob",e535c41840472cc4f5f8e6ccc0c37abe10246e83a4634038fba869ba8564f90b,"bound-to-main","not-applicable",,"bound-to-main","not-applicable",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"SUBPROGRAM_BOUND_TO_MAIN",no,""
493,"COBOL","ST122A","ST122A.cob",1267bbc92ed72ded26edd0791f782135df871282f759f59568533440bee9b8b3,"pass","pass",0,"accepted","pass",0,"match","match","match","match","match",RAW_OUTPUT_MATCH,"RAW_OUTPUT_IDENTICAL",no,""
494,"COBOL","ST123A","ST123A.cob",5a1b73ea6d9aaea96f34618bc3b4c3334f16719a4de31b92436a623d04367063,"bound-to-main","not-applicable",,"bound-to-main","not-applicable",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"SUBPROGRAM_BOUND_TO_MAIN",no,""
495,"COBOL","ST124A","ST124A.cob",f341a7cb80a921a856bb6db49f9d859dd2210bb1f2e02a1abb5faa53885a4cfc,"bound-to-main","not-applicable",,"bound-to-main","not-applicable",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"SUBPROGRAM_BOUND_TO_MAIN",no,""
496,"COBOL","ST125A","ST125A.cob",f8683f56208a33cacfb28953c008d3e2f4c99832908c192c18cb70dc490b8466,"pass","pass",0,"accepted","pass",0,"mismatch","mismatch","mismatch","match","not_comparable",GENERATED_FILE_MISMATCH,"GENERATED_FILES_DIFFER",no,""
497,"COBOL","ST126A","ST126A.cob",d1ec4752cb9ee85252af05424f6dd63cfe85878efa9c492ebaf2ec7d2985e51b,"bound-to-main","not-applicable",,"bound-to-main","not-applicable",,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",NON_EXECUTABLE_LIBRARY,"SUBPROGRAM_BOUND_TO_MAIN",no,""
498,"COBOL","ST127A","ST127A.cob",699338cd481bd1f6f9263e871adb0f2b7161ec622dd7fd5f6f06c05365fa963e,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_SORT_MERGE_KEY_SORTKEY_NOT_FIELD",no,"cobrun: unsupported: SORT/MERGE KEY `SORTKEY-1` is not a field of the sort record"
499,"COBOL","ST131A","ST131A.cob",3f48d5973fe909b2b256af58ba39b1d0162660f498297a4383ed4a2665d03ce5,"pass","pass",0,"reject-unsupported","not-run",2,"not_comparable","not_comparable","not_comparable","not_comparable","not_comparable",RUST_REJECT_UNSUPPORTED,"COBRUN_UNSUPPORTED_SORT_MERGE_KEY_NOT_FIELD_THE",no,"cobrun: unsupported: SORT/MERGE KEY `S1-1` is not a field of the sort record"
