diagnostic,phase,count,example_test_id
cobrun: unsupported: unsupported level number $SET,data-layout,1,0828
cobrun: unsupported: unsupported level number --,data-layout,1,0519
cobrun: unsupported: unsupported level number LOCAL-STORAGE,data-layout,5,0677
cobrun: unsupported: unsupported level number REPLACE,data-layout,22,0570
cobrun: unsupported: unsupported level number TAT-FILE1,data-layout,1,0953
cobrun: unsupported: verb CHAINING,grammar,5,0867
cobrun: unsupported: verb END,grammar,1,0883
cobrun: unsupported: verb IDENTIFICATION,grammar,1,0704
cobrun: unsupported: verb RETURNING,grammar,2,0801
cobrun: unsupported: verb T,grammar,1,0693
